Region,Title,Rating,Source,Score
Country,鋒迴路轉：亡者歸來,7.5,IMDb,7.5
Country,Dhurandhar,8.6,IMDb,8.6
Country,影星傑凱利,6.6,IMDb,6.6
Country,佛萊迪餐館之五夜驚魂2,5.6,IMDb,5.6
Country,動物方城市2,7.7,IMDb,7.7
Country,逃亡遊戲,6.5,IMDb,6.5
Country,一戰再戰,7.9,IMDb,7.9
Country,F1電影,7.7,IMDb,7.7
Country,阿凡達：火與燼,,IMDb,
Country,唉，好歡樂,5.3,IMDb,5.3
Country,科學怪人,7.5,IMDb,7.5
Country,去死吧，親愛的,6.3,IMDb,6.3
Country,暴蜂尼亞,7.5,IMDb,7.5
Country,聖誕老人亂亂愛,5.7,IMDb,5.7
Country,火車大夢,7.5,IMDb,7.5
Country,終極戰士：殺戮星球,7.4,IMDb,7.4
Country,Hunting Season,5.6,IMDb,5.6
Country,Nuremberg,7.5,IMDb,7.5
Country,屋頂人,7.0,IMDb,7.0
Country,哈姆奈特,8.1,IMDb,8.1
Country,情感的價值,7.9,IMDb,7.9
Country,Ella McCay,5.3,IMDb,5.3
Country,家弒服務,,IMDb,
Country,凶器,7.5,IMDb,7.5
Country,出神入化3,6.2,IMDb,6.2
Country,罪人,7.6,IMDb,7.6
Country,Merv,5.6,IMDb,5.6
Country,橫衝直闖,7.6,IMDb,7.6
Country,超人,7.1,IMDb,7.1
Country,換乘真愛,7.3,IMDb,7.3
Country,"Silent Night, Deadly Night",6.5,IMDb,6.5
Country,魔法壞女巫：第二部,7.0,IMDb,7.0
Country,偷心響叮噹,5.7,IMDb,5.7
Country,不可能的任務：最終清算,7.2,IMDb,7.2
Country,盜藝有道,6.5,IMDb,6.5
Country,Tere Ishk Mein,7.7,IMDb,7.7
Country,聖誕前緣,5.3,IMDb,5.3
Country,It Ends,6.1,IMDb,6.1
Country,偷天盜日,6.9,IMDb,6.9
Country,沒好婚姻,6.7,IMDb,6.7
Country,顫懼,5.6,IMDb,5.6
Country,Influencers,6.1,IMDb,6.1
Country,劇場版『鏈鋸人 蕾潔篇』,8.5,IMDb,8.5
Country,創：戰神,6.3,IMDb,6.3
Country,The Girlfriend,6.9,IMDb,6.9
Country,香檳情緣,6.0,IMDb,6.0
Country,Dracula: A Love Tale,6.2,IMDb,6.2
Country,Iron Lung,,IMDb,
Country,驚奇4超人：第一步,6.9,IMDb,6.9
Country,徵人啟弒,7.6,IMDb,7.6
AU,終極戰士：殺戮星球,7.4,IMDb,7.4
AU,罪人,7.6,IMDb,7.6
AU,超人,7.1,IMDb,7.1
AU,魔法壞女巫：第二部,7.0,IMDb,7.0
AU,沒好婚姻,6.7,IMDb,6.7
AU,滿血復活,7.1,IMDb,7.1
AU,雷霆特攻隊*,7.1,IMDb,7.1
AU,星際寶貝：史迪奇,6.7,IMDb,6.7
AU,永遠在一起,6.7,IMDb,6.7
AU,卑鄙遊戲,5.9,IMDb,5.9
AU,是誰搞的鬼,5.1,IMDb,5.1
AU,鯊人魔,6.4,IMDb,6.4
AU,清算之戰,5.3,IMDb,5.3
AU,The Plague,7.0,IMDb,7.0
AU,熱浪之夏,5.6,IMDb,5.6
AU,Palestine 36,7.2,IMDb,7.2
AU,疾凍救援：復仇,4.8,IMDb,4.8
AU,One More Shot,5.6,IMDb,5.6
AU,Beast of War,5.3,IMDb,5.3
AU,EPiC: Elvis Presley in Concert,9.1,IMDb,9.1
AU,The Travellers,5.8,IMDb,5.8
AU,Bump: A Christmas Film,4.4,IMDb,4.4
AU,The Golden Spurtle,7.7,IMDb,7.7
AU,Jimpa,5.9,IMDb,5.9
AU,Long Day's Journey Into Night,8.2,IMDb,8.2
AU,The Offing,5.0,IMDb,5.0
AU,Yanuni,7.0,IMDb,7.0
AU,Kangaroo,6.7,IMDb,6.7
AU,Residence,8.9,IMDb,8.9
AU,The Room Below,,IMDb,
AU,Fear Below,5.1,IMDb,5.1
AU,"Mothers, Lovers and Others",8.2,IMDb,8.2
AU,The Singing Priest,Rate,IMDb,
AU,Deeper,6.9,IMDb,6.9
AU,Diabolic,8.1,IMDb,8.1
AU,Unseen Enemy,Rate,IMDb,
AU,Pellegrinis: A Melbourne Legacy,7.6,IMDb,7.6
AU,Until the Sky Falls Quiet,9.7,IMDb,9.7
AU,First Moon,3.3,IMDb,3.3
AU,Spit,6.1,IMDb,6.1
AU,The Black Essence,8.3,IMDb,8.3
AU,Space/Time,6.7,IMDb,6.7
AU,Shaunki Sardar,8.4,IMDb,8.4
AU,Carnal Vessels,6.0,IMDb,6.0
AU,Backlash,4.5,IMDb,4.5
AU,Alphabet Lane,6.3,IMDb,6.3
AU,Snatchers,4.8,IMDb,4.8
AU,The Edge,4.3,IMDb,4.3
AU,The Household,4.6,IMDb,4.6
AU,It Will Find You,8.0,IMDb,8.0
HK,Bu feng zhui ying,7.2,IMDb,7.2
HK,Huo zhe yan,7.7,IMDb,7.7
HK,世外,7.3,IMDb,7.3
HK,射鵰英雄傳：俠之大者,6.4,IMDb,6.4
HK,尋秦記,,IMDb,
HK,阿龍,4.9,IMDb,4.9
HK,隱蹟之書：重寫自我,8.4,IMDb,8.4
HK,無名指,6.0,IMDb,6.0
HK,Noi Mok,5.2,IMDb,5.2
HK,殺手#4,6.3,IMDb,6.3
HK,Golden Boy,6.1,IMDb,6.1
HK,眾生相,6.8,IMDb,6.8
HK,風林火山,5.9,IMDb,5.9
HK,Hybrid Storm,5.3,IMDb,5.3
HK,Shui jiao huang hou,6.4,IMDb,6.4
HK,地母,6.5,IMDb,6.5
HK,私家偵探,5.8,IMDb,5.8
HK,Ji dao,6.7,IMDb,6.7
HK,臨時決鬥,5.7,IMDb,5.7
HK,今天應該很高興,6.4,IMDb,6.4
HK,Someone Like Me,6.6,IMDb,6.6
HK,Zhi ming wan ou,5.5,IMDb,5.5
HK,Luz,6.2,IMDb,6.2
HK,他年她日,5.2,IMDb,5.2
HK,Jik Zyun Soeng Bun Coeng,6.4,IMDb,6.4
HK,惡行之外,4.4,IMDb,4.4
HK,My Best Bet,5.4,IMDb,5.4
HK,觸電,6.7,IMDb,6.7
HK,女孩不平凡,Rate,IMDb,
HK,Wo hui hao hao de,5.5,IMDb,5.5
HK,Maa Zoek Neoi Wong Zeoi Naam Zai,4.8,IMDb,4.8
HK,搗破法蘭克,5.5,IMDb,5.5
HK,Wu Ming zhi Bei: Yi Yi Fei Fan,,IMDb,
HK,Gamer Girls,Rate,IMDb,
HK,Unidentified Murder,7.8,IMDb,7.8
HK,Ha Ha Ha Happy New Year,3.7,IMDb,3.7
HK,Me Too,Rate,IMDb,
HK,Dzou niu,Rate,IMDb,
HK,Rock N Cop the movie,Rate,IMDb,
HK,Learning to Fly,Rate,IMDb,
HK,I Want to Be Rich,4.5,IMDb,4.5
HK,謊島美人魚,3.1,IMDb,3.1
HK,小蟲蟲大冒險,Rate,IMDb,
HK,Inside Out,Rate,IMDb,
HK,What's next?,2.5,IMDb,2.5
HK,Whisperings of the Moon,Rate,IMDb,
HK,The River That Holds Our Hands,Rate,IMDb,
HK,A Land with No Ceremony,Rate,IMDb,
HK,Returning Home,Rate,IMDb,
HK,City of Shells: Our Forgotten Oyster Reefs,Rate,IMDb,
JP,劇場版『鏈鋸人 蕾潔篇』,8.5,IMDb,8.5
JP,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,6.5,IMDb,6.5
JP,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,8.5,IMDb,8.5
JP,侏羅紀世界：重生,5.9,IMDb,5.9
JP,日租家庭,7.9,IMDb,7.9
JP,重擊人生,6.4,IMDb,6.4
JP,上流× 下流,5.5,IMDb,5.5
JP,Lone Samurai,4.7,IMDb,4.7
JP,國寶,8.0,IMDb,8.0
JP,Scarlet 永無止境的史嘉蕾,6.4,IMDb,6.4
JP,8號出口,6.5,IMDb,6.5
JP,狠狠愛,5.3,IMDb,5.3
JP,Dollhouse,6.7,IMDb,6.7
JP,殺無盡,6.6,IMDb,6.6
JP,10DANCE,,IMDb,
JP,劇場版 咒術迴戰 懷玉．玉折,7.9,IMDb,7.9
JP,Harà watan,8.2,IMDb,8.2
JP,電影哆啦A夢：大雄的繪畫世界物語,7.3,IMDb,7.3
JP,電影蠟筆小新：超華麗！灼熱的春日部舞者們,6.8,IMDb,6.8
JP,一百公尺。,8.0,IMDb,8.0
JP,名偵探柯南 獨眼的殘像,6.7,IMDb,6.7
JP,膽大黨：邪視,7.8,IMDb,7.8
JP,旅與日子,7.2,IMDb,7.2
JP,風葵的夏日物語,6.4,IMDb,6.4
JP,地下忍者,5.7,IMDb,5.7
JP,魯邦三世 不死身的血族,6.5,IMDb,6.5
JP,陰陽眼見子,6.6,IMDb,6.6
JP,怪獸8號：Mission Recon,6.8,IMDb,6.8
JP,群山淡景,6.8,IMDb,6.8
JP,New Group,5.9,IMDb,5.9
JP,戰疫前線,6.6,IMDb,6.6
JP,Kaede,,IMDb,
JP,浮世繪女兒,5.7,IMDb,5.7
JP,東京計程車,7.1,IMDb,7.1
JP,劇場版物怪 第2章 火鼠,7.1,IMDb,7.1
JP,新幹線驚爆倒數,6.2,IMDb,6.2
JP,鬼城殺,5.4,IMDb,5.4
JP,Junk World,6.7,IMDb,6.7
JP,佐賀偶像是傳奇 夢幻銀河樂園,7.1,IMDb,7.1
JP,龍之心-靈界探訪記-,5.1,IMDb,5.1
JP,劇場版 世界計畫 崩壞的世界與無法歌唱的初音未來,6.5,IMDb,6.5
JP,Muromachi Burai,6.0,IMDb,6.0
JP,近畿．禁忌,6.0,IMDb,6.0
JP,殺手#4,6.3,IMDb,6.3
JP,寶島,6.3,IMDb,6.3
JP,Wind Breaker,5.7,IMDb,5.7
JP,怪譚搜索,3.7,IMDb,3.7
JP,Byosoku 5 senchimetoru,7.3,IMDb,7.3
JP,凡爾賽玫瑰,5.8,IMDb,5.8
JP,ChaO，我代表人類跟人魚結婚了,7.1,IMDb,7.1
KR,暴蜂尼亞,7.5,IMDb,7.5
KR,徵人啟弒,7.6,IMDb,7.6
KR,米奇17號,6.7,IMDb,6.7
KR,Daehongsu,6.8,IMDb,6.8
KR,萬王之王,6.8,IMDb,6.8
KR,全知讀者視角,5.7,IMDb,5.7
KR,殺手螳螂,5.2,IMDb,5.2
KR,放飛旅行團,6.9,IMDb,6.9
KR,凶降喜訊,6.6,IMDb,6.6
KR,異能5：死了一個超人以後,6.6,IMDb,6.6
KR,再見星上人,7.1,IMDb,7.1
KR,Panggil Aku Ayah,7.6,IMDb,7.6
KR,Sal-in-ja Ri-po-teu,6.6,IMDb,6.6
KR,獵魔士：深淵海妖,6.1,IMDb,6.1
KR,捲捲初戀,7.1,IMDb,7.1
KR,聖母殺手,6.0,IMDb,6.0
KR,黑祭司2：闇黑修女,5.2,IMDb,5.2
KR,凌晨兩點的惡魔,6.6,IMDb,6.6
KR,醜得要命,6.9,IMDb,6.9
KR,來自誰的啟示,6.0,IMDb,6.0
KR,我和我的殭屍女兒,6.7,IMDb,6.7
KR,Peurojekteu Y,8.1,IMDb,8.1
KR,聖夜：惡魔都市,4.8,IMDb,4.8
KR,Your Letter,8.1,IMDb,8.1
KR,牆外之音,5.9,IMDb,5.9
KR,#Runseokjin_Ep.Tour the Movie,,IMDb,
KR,終極對弈,6.9,IMDb,6.9
KR,黑白線人,6.6,IMDb,6.6
KR,Witjip saramdeul,7.4,IMDb,7.4
KR,Segyeui Ju-in,7.9,IMDb,7.9
KR,殺人預言,5.2,IMDb,5.2
KR,自然有話說,7.0,IMDb,7.0
KR,Man-yag-e U-ri,,IMDb,
KR,Boy,Rate,IMDb,
KR,Rangga & Cinta,6.8,IMDb,6.8
KR,Donghwajiman cheongbul-ibnida,5.9,IMDb,5.9
KR,Keadilan,8.5,IMDb,8.5
KR,Taeyang-ui norae,6.8,IMDb,6.8
KR,Cha Eun-woo VR Concert: Memories,9.4,IMDb,9.4
KR,喬王出任務,5.8,IMDb,5.8
KR,The Noisy Mansion,5.6,IMDb,5.6
KR,The Ghost Game,4.9,IMDb,4.9
KR,誰想當老大,5.1,IMDb,5.1
KR,Charari Jukyeo,5.1,IMDb,5.1
KR,大畫特務2,5.5,IMDb,5.5
KR,ONE IN A MILL10N,8.4,IMDb,8.4
KR,Kon-keu-ri-teu Ma-ket,Rate,IMDb,
KR,Even if This Love Disappears from the World Tonight,,IMDb,
KR,全力奔跑,9.5,IMDb,9.5
KR,Night Fever,,IMDb,
TW,侏羅紀世界：重生,5.9,IMDb,5.9
TW,左撇子女孩,7.4,IMDb,7.4
TW,Magalhães,6.7,IMDb,6.7
TW,大濛,7.8,IMDb,7.8
TW,狼少女末世錄,7.8,IMDb,7.8
TW,我家的事,7.5,IMDb,7.5
TW,叫我驅魔男神,,IMDb,
TW,角頭－鬥陣欸,7.2,IMDb,7.2
TW,96分鐘,6.8,IMDb,6.8
TW,隱蹟之書：重寫自我,8.4,IMDb,8.4
TW,泥娃娃,7.2,IMDb,7.2
TW,有病才會喜歡你,6.7,IMDb,6.7
TW,器子,5.5,IMDb,5.5
TW,女孩,6.3,IMDb,6.3
TW,Esok Tanpa Ibu,Rate,IMDb,
TW,從來,6.2,IMDb,6.2
TW,山忌 黃衣小飛俠,5.4,IMDb,5.4
TW,自殺通告,6.9,IMDb,6.9
TW,Slave Island,7.9,IMDb,7.9
TW,最親愛的陌生人,5.9,IMDb,5.9
TW,他年她日,5.2,IMDb,5.2
TW,Hui Jia,6.1,IMDb,6.1
TW,大風之島,7.4,IMDb,7.4
TW,雙囍,Rate,IMDb,
TW,China Sea,7.4,IMDb,7.4
TW,女孩不平凡,Rate,IMDb,
TW,燭線危機,5.0,IMDb,5.0
TW,失明,6.8,IMDb,6.8
TW,Thunderbolt Fantasy 東離劍遊紀 最終章,7.6,IMDb,7.6
TW,失樂園,Rate,IMDb,
TW,造山者－世紀的賭注,7.7,IMDb,7.7
TW,深度安靜,6.7,IMDb,6.7
TW,丟包阿公到我家,6.7,IMDb,6.7
TW,Admission,8.0,IMDb,8.0
TW,Memories Frozen in Time,Rate,IMDb,
TW,人生海海,6.8,IMDb,6.8
TW,那張照片裡的我們,,IMDb,
TW,詭鄉,Rate,IMDb,
TW,The Male Gaze: Secrets and Lies,Rate,IMDb,
TW,夏日最後的祕密,5.9,IMDb,5.9
TW,雲在兩千米,Rate,IMDb,
TW,陌路兄弟,6.4,IMDb,6.4
TW,河鰻,6.1,IMDb,6.1
TW,陽光女子合唱團,,IMDb,
TW,南方時光,6.0,IMDb,6.0
TW,進行曲,7.2,IMDb,7.2
TW,女孩白日夢,Rate,IMDb,
TW,恨女的逆襲,6.4,IMDb,6.4
TW,小蟲蟲大冒險,Rate,IMDb,
TW,明日的過客,Rate,IMDb,
